track_id,track_name,artist_spotify,macro_genre,danceability,energy,valence,popularity,year
7cKjO3GCTNXmt6UuIW9M0P,Hollywood,Rozei,Other,0.809,0.639,0.97,42,2020
7dH0dpi751EoguDDg3xx6J,ドライフラワー,Yuuri,Pop,0.463,0.624,0.521,67,2020
7dz92P4LmPOl81fNcHjEUV,Naan Kudikka Poren,Ratty Adhiththan;Sahi Siva;Selojan,Other,0.785,0.602,0.6,55,2020
7e89621JPkKaeDSTQ3avtg,Sweet Home Alabama,Lynyrd Skynyrd,Jazz/Blues,0.596,0.605,0.886,81,2021
7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),Powfu;beabadoobee,Other,0.726,0.431,0.348,83,2020
7eQHxigpuDJjCG50JyzU8v,Butterflies,MAX;Ali Gatie,Electronic/Dance,0.7,0.613,0.42,76,2021
7es56D0QedGMsK39wl2yFX,Happier Than Ever,ASTN,Other,0.667,0.457,0.266,76,2021
7fBv7CLKzipRk6EC6TWHOB,The Hills,The Weeknd,Pop,0.585,0.564,0.137,88,2021
7fQox8Ere1HDm0jhSnsFHu,Obey (with YUNGBLUD),Bring Me The Horizon;YUNGBLUD,Rock/Alternative,0.462,0.99,0.204,55,2020
7h0d2h0fUmzbs7zeFigJPn,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott;ROSALÍA;Lil Baby,Electronic/Dance,0.559,0.491,0.114,68,2020
7hAJdc1P2u9q8G6ucKlZD0,mr. nice guy,KAYDEN,Other,0.614,0.657,0.619,59,2020
7htmRcPbmrY9oenatxz9UL,Latest Trends (feat. Aitch) - Remix,A1 x J1;Aitch,Other,0.654,0.491,0.807,65,2021
7ibelrkhyU0Nd8AW1cjPil,Surma,Aamir Khan;6n,Acoustic/Folk,0.665,0.854,0.48,51,2021
7iqOIHHEmu6Vhw25GgQ2eA,Una Nota,J Balvin;Sech,Latin,0.662,0.788,0.711,71,2021
7jQpjGSWuxXT84p00VF9EH,There’s Nothing That Our God Can’t Do - Live,Passion;Kristian Stanfill,Other,0.507,0.848,0.343,48,2020
7jeOETwLUP84mPQzxlD5nh,Then He Kissed Me,The Crystals,Rock/Alternative,0.431,0.678,0.633,59,2020
7k4t7uLgtOxPwTpFmtJNTY,Tusa,KAROL G;Nicki Minaj,Other,0.803,0.715,0.574,78,2020
7kRKlFCFLAUwt43HWtauhX,LOST IN PARADISE,ALI;AKLO,R&B/Soul,0.648,0.904,0.728,69,2020
7kiWVIA95A2H7TMYSrA0b5,Hands Up to the Sky,SawanoHiroyuki[nZk];Laco,Other,0.708,0.721,0.525,55,2021
7krGSbOnw13S7tIpgVEWAo,Clash,Diljit Dosanjh,Pop,0.693,0.593,0.688,60,2020
7lGhrfren1Zpwh0ds0zuUg,Pal Pal Dil Ke Paas- Title Track,Arijit Singh;Parampara Tandon,Pop,0.56,0.512,0.39,71,2020
7lgvGRC1gN0JGgY9VGXsQT,Vacation,Dirty Heads,Other,0.736,0.751,0.839,62,2021
7lidXGPXPYLNThITAOTlkK,You should be sad,Halsey,Other,0.591,0.585,0.324,73,2020
7mNZUnDWUDidWBFaUpVtOC,Chidiya,Vilen,Hip-Hop/Rap,0.486,0.494,0.414,74,2020
7n2FZQsaLb7ZRfRPfEeIvr,ELEVEN,IVE,Pop,0.828,0.731,0.587,79,2021
7nKiLyUUSbNUwaoMBzBeQO,It's Okay To Cry,SOPHIE,Other,0.579,0.232,0.2,44,2021
7oVEtyuv9NBmnytsCIsY5I,BURN IT DOWN,Linkin Park,Rock/Alternative,0.585,0.972,0.585,75,2020
7oahNRcO0CxOOQWlqpuH40,Mind Blown,Syn Cole,Electronic/Dance,0.837,0.868,0.962,54,2020
7pARbCUoO1CTzU5ucMEaVF,Summer 91,Noizu,Electronic/Dance,0.5,0.953,0.327,60,2020
7pBrj5rt4SSxXwFKOyZfHR,Dissolve,Absofacto,Pop,0.688,0.582,0.872,68,2020
7pT6WSg4PCt4mr5ZFyUfsF,If We Have Each Other,Alec Benjamin,Other,0.656,0.577,0.861,75,2020
7pnQ23WgZca9jEfMts9qsR,Latest Trends,A1 x J1,Other,0.716,0.513,0.8,71,2021
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi,Pop,0.501,0.405,0.446,87,2020
7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,Pop,0.825,0.652,0.931,86,2020
7qpXCkcr3Zj4LDvdiWryns,Erro Antigo - Ao Vivo,Diego & Victor Hugo,Other,0.625,0.826,0.64,52,2020
7rSERmjAT38lC5QhJ8hnQc,I'm Shipping Up To Boston,Dropkick Murphys,Rock/Alternative,0.452,0.928,0.6,70,2020
7rdnB5DAyPbaj51TCQRcqW,It's You,Sezairi,Acoustic/Folk,0.63,0.456,0.166,73,2021
7svpAkwc6xaSxlbZ7V7JiS,i was all over her,salvia palth,Other,0.529,0.353,0.0601,77,2020
7tfNdoXGoZiTLE65Y5o5Hz,70億にただ1つの奇跡,ACE COLLECTION,Other,0.552,0.45,0.403,38,2020
7tpRgru0h8B4eCvdBegLTA,Nakhre,Zack Knight,Hip-Hop/Rap,0.524,0.632,0.416,67,2021
7u9BIFBgxuqntGW7wO5lMs,Demons and Monsters,347aidan,Other,0.777,0.32,0.407,66,2020
7uF1nTuJRGUlZzODPcmPva,Ashes on The Fire (Attack on Titan The Final Season Original Soundtrack),KOHTA YAMAMOTO,Other,0.214,0.703,0.0786,58,2021
7uoFMmxln0GPXQ0AcCBXRq,Snowman,Sia,Electronic/Dance,0.716,0.512,0.326,78,2020
7v8wKvNQQIxkugCFFjrkaO,残響散歌,Aimer,Other,0.367,0.896,0.38,77,2021
7vTWDgT6kwl7efPEh0AkmD,Used To,Jordan Solomon,Other,0.777,0.501,0.762,37,2020
7vp89zcbYncoBCbX5HA3tZ,Dream Land,Bunny Wailer,Other,0.782,0.43,0.89,56,2021
7vrJn5hDSXRmdXoR30KgF1,BICHOTA,KAROL G,Other,0.863,0.666,0.838,76,2020
7wBJfHzpfI3032CSD7CE2m,STARGAZING,Travis Scott,Electronic/Dance,0.487,0.789,0.0564,75,2020
